id,moodcond,filmtype,fem1mal0,age,relyrs,relmos,neo1,neo2,neo3,neo4,neo5,neo6,neo7,neo8,neo9,neo10,neo11,neo12,neo13,neo14,neo15,neo16,neo17,neo18,neo19,neo20,neo21,neo22,neo23,neo24,neo25,neo26,neo27,neo28,neo29,neo30,neo31,neo32,neo33,neo34,neo35,neo36,neo37,neo38,neo39,neo40,neo41,neo42,neo43,neo44,neo45,neo46,neo47,neo48,neo49,neo50,neo51,neo52,neo53,neo54,neo55,neo56,neo57,neo58,neo59,neo60,dep1,dep2,dep3,dep4,dep5,dep6,dep7,dep8,dep9,dep10,dep11,dep12,dep13,dep14,dep15,dep16,dep17,dep18,dep19,dep20,anx1,anx2,anx3,anx4,anx5,anx6,anx7,anx8,anx9,anx10,anx11,anx12,anx13,anx14,anx15,anx16,anx17,anx18,anx19,anx20,vit1,vit2,vit3,vit4,vit5,vit6,vit7,emm1,emm2,emm3,emm4,emm5,emm6,emm7,emm8,emm9,lsat1,lsat2,lsat3,lsat4,lsat5,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair20,pair21,pair22,pair23,pair24,nsat1,nsat2,nsat3,nsat4,nsat5,nsat6,nsat7,nsat8,nsat9,attach1,attach2,attach3,attach4,attach5,attach6,attach7,attach8,attach9,attach10,attach11,attach12,attach13,attach14,attach15,attach16,attach17,attach18,attach19,attach20,attach21,attach22,attach23,attach24,attach25,attach26,attach27,attach28,attach29,attach30,attach31,attach32,attach33,attach34,attach35,attach36,att1,att2,att3,att4,neo1r,neo3r,neo8r,neo9r,neo12r,neo14r,neo15r,neo16r,neo18r,neo23r,neo24r,neo27r,neo29r,neo30r,neo31r,neo33r,neo38r,neo39r,neo42r,neo44r,neo45r,neo46r,neo48r,neo54r,neo55r,neo57r,neo59r,dep4r,dep8r,dep12r,dep16r,anx1r,anx3r,anx5r,anx6r,anx7r,anx9r,anx11r,anx15r,anx16r,anx17r,vit2r,pair6r,pair7r,pair8r,pair9r,pair10r,pair11r,pair15r,pair17r,pair19r,pair20r,pair21r,pair22r,nsat4r,nsat6r,nsat9r,attach3r,attach15r,attach19r,attach25r,attach27r,attach29r,attach31r,attach33r,attach35r,attach22r,neuro,extra,open,agr,consc,dep,anx,vit,emm,lsat,pair,nsat,attavoid,attanx,sec,aself,aoth,pet
1,0,0,1,54,32,3,7,4,7,7,7,1,7,4,2,7,1,1,6,1,1,7,7,1,4,7,1,7,4,4,5,1,4,7,6,1,7,7,2,6,7,1,7,1,5,7,1,1,6,5,1,7,7,1,7,7,1,7,7,1,1,1,4,7,5,7,1,1,1,7,1,1,1,7,1,1,2,7,1,1,1,7,1,1,1,1,6,1,7,1,7,7,7,1,7,2,7,1,2,2,7,7,7,1,1,1,7,1,7,7,7,7,7,1,1,1,1,2,2,1,1,1,5,5,5,5,5,7,5,6,6,7,1,1,1,1,1,1,7,6,4,1,6,1,6,1,2,1,1,7,7,7,6,7,1,7,1,7,7,1,1,1,7,1,1,1,1,1,1,1,1,1,1,2,7,1,1,1,7,1,3,7,1,1,7,1,7,1,6,1,6,1,6,1,5,1,7,2,1,1,1,1,4,6,7,7,7,1,7,4,4,4,2,7,1,6,7,3,7,3,7,1,7,7,7,4,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,1,1,1,1,1,2,2,2,3,1,1,6.25,5.75,4.916666667,6.833333333,1.05,1.2,7,1.222222222,5,6.541666667,6.888888889,1.388888889,1.055555556,17,7,5,1
2,1,0,1,38,7,9,1,1,3,7,7,1,7,3,1,5,2,2,6,4,5,6,6,5,6,7,5,4,6,5,3,1,5,6,5,4,6,5,1,5,5,1,6,4,5,7,2,1,3,5,2,7,2,2,7,7,1,6,7,3,1,1,7,7,5,4,1,1,1,7,2,1,1,7,1,1,2,7,1,1,1,7,1,1,1,1,6,1,7,1,6,7,7,1,7,2,7,2,1,1,6,6,7,1,2,1,7,2,7,7,6,5,7,1,1,1,2,1,2,1,1,2,5,5,5,3,5,7,4,6,7,5,6,1,1,1,4,1,6,7,3,1,6,2,4,4,2,1,1,6,7,7,7,7,1,7,1,6,5,1,2,1,6,1,3,1,2,1,2,1,2,1,1,1,7,1,1,2,6,2,3,7,1,2,6,1,6,2,6,2,6,4,6,6,5,1,7,5,1,2,7,5,5,7,6,4,3,2,3,2,3,3,3,4,2,7,4,3,7,3,6,1,6,5,7,1,3,1,1,1,1,2,1,2,1,1,1,1,2,2,1,6,2,7,7,7,4,7,7,6,4,6,7,7,7,7,7,2,1,2,2,2,2,2,2,3,1,2.166666667,4.5,5.083333333,4.666666667,5.416666667,1.1,1.35,6.428571429,1.333333333,4.6,5.791666667,6.666666667,1.944444444,1.722222222,13,9,1,1
3,0,0,0,35,13,4,2,4,4,7,5,1,7,7,1,6,1,7,7,4,1,7,7,4,4,7,1,4,4,2,7,1,4,7,6,1,7,6,4,7,7,5,6,7,1,7,1,1,1,6,1,7,7,1,7,7,1,6,7,1,1,1,4,4,1,7,1,1,1,7,1,1,1,6,1,1,3,6,1,1,1,6,1,1,1,1,6,1,6,5,7,6,6,1,6,1,6,1,1,1,6,6,6,1,1,1,6,1,6,6,6,5,6,1,1,1,1,1,1,4,2,1,5,4,4,4,4,7,7,7,4,2,3,1,4,1,6,1,2,4,1,2,7,1,1,4,4,1,1,6,7,5,6,6,2,7,2,6,6,2,7,2,6,7,2,4,2,7,2,6,2,1,1,1,6,1,1,4,6,1,5,4,1,1,6,1,7,1,7,2,7,2,6,1,5,2,6,7,1,6,6,4,1,7,1,4,7,1,4,4,6,4,2,7,1,4,1,7,7,2,7,1,7,7,7,4,7,1,2,2,2,2,2,1,2,2,2,2,2,2,2,7,5,7,4,7,2,7,6,7,4,4,7,7,6,6,6,2,2,2,2,1,1,1,2,3,4,1.75,5.25,4.25,5.583333333,6.75,1.25,1.65,6,1.444444444,4.2,5.083333333,6,2.166666667,2.666666667,4,6,-6,0
4,0,0,0,62,40,2,7,7,7,7,7,1,7,7,1,7,1,1,6,1,1,7,7,3,5,7,1,7,6,1,7,1,1,6,3,1,7,5,4,7,7,2,6,7,1,7,1,1,4,6,2,7,7,1,7,7,1,7,7,4,1,1,1,6,1,6,1,1,1,7,1,1,1,7,1,1,4,6,1,1,1,7,1,2,1,1,6,1,7,1,7,6,7,1,6,1,5,2,2,1,7,7,7,1,1,1,7,1,6,7,7,4,7,1,1,1,1,1,4,1,1,1,5,5,5,4,5,5,7,5,3,6,1,3,5,2,4,2,3,3,7,3,4,3,4,3,4,3,2,6,5,6,6,6,2,7,3,6,6,3,4,1,6,4,1,4,1,1,1,5,1,5,1,2,6,5,2,4,5,4,3,7,2,5,6,5,6,4,6,3,5,3,6,3,5,3,6,3,5,1,1,1,1,7,7,7,7,1,5,2,7,7,5,7,1,4,1,7,7,2,6,1,7,4,7,7,7,1,1,2,1,2,1,1,2,1,2,3,1,1,1,7,7,5,3,6,4,6,5,5,5,4,5,6,6,5,5,2,2,3,2,2,2,3,2,3,1,1.083333333,6.75,4.166666667,6,6.833333333,1.25,1.35,6.428571429,1.333333333,4.8,4.958333333,5.888888889,2.055555556,3.444444444,9,3,7,0
5,1,0,0,56,32,3,4,5,5,5,6,1,3,3,1,5,5,5,7,7,7,7,7,1,7,5,5,7,7,7,3,1,1,7,7,5,5,7,7,7,7,1,7,1,1,6,1,6,5,7,5,7,7,7,5,6,1,7,3,7,7,1,7,1,7,1,2,1,1,7,1,1,3,7,1,1,3,7,1,1,1,7,1,1,1,1,5,1,7,2,7,7,6,1,6,3,7,2,1,1,7,6,7,2,2,1,7,1,7,7,7,7,7,1,4,1,1,4,2,1,1,1,5,5,5,5,5,7,3,7,7,7,1,1,1,1,1,1,7,7,1,1,4,1,4,1,1,1,1,7,7,7,7,7,1,7,1,7,7,1,1,4,7,6,1,1,1,1,1,1,1,1,1,1,7,1,1,4,7,1,1,7,1,1,7,1,7,1,7,5,7,7,7,5,7,4,7,1,1,1,4,3,5,7,3,1,1,1,7,1,1,7,1,3,3,1,7,7,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,1,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,2.083333333,5.25,4,3.666666667,3.916666667,1.25,1.55,7,1.777777778,5,6.333333333,7,1,2.555555556,18,6,6,1
6,0,0,0,31,3,3,1,7,1,7,3,1,7,5,1,4,1,1,7,1,2,7,7,2,4,7,1,4,4,5,5,1,2,7,3,1,1,4,1,7,7,1,7,1,5,7,2,1,4,2,4,7,7,1,7,7,1,4,7,3,2,1,1,7,4,7,1,2,1,7,2,1,1,7,1,1,4,7,1,1,1,6,1,1,1,1,7,1,7,2,7,7,7,2,7,1,7,2,1,1,7,7,7,1,2,1,7,1,7,7,6,2,7,1,1,1,2,4,2,1,1,4,3,5,4,4,2,7,7,7,3,6,2,2,3,1,2,1,7,5,7,5,6,1,4,4,1,1,1,7,7,7,6,7,2,7,1,6,7,1,4,1,7,4,2,1,1,2,1,1,1,1,1,2,7,1,1,1,7,1,1,7,1,2,6,1,7,1,7,1,7,2,7,5,4,1,7,5,2,1,7,7,3,7,7,7,6,1,6,4,3,6,5,7,7,7,7,3,7,6,4,1,7,5,6,7,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,7,6,6,5,7,6,7,3,7,4,7,7,7,6,7,7,1,1,1,2,1,1,1,1,4,1,2.083333333,6.166666667,6.083333333,5.416666667,5.833333333,1.3,1.2,6.142857143,1.888888889,3.6,6.041666667,6.666666667,1.444444444,1.611111111,13,9,3,1
7,0,0,1,62,40,2,1,6,4,7,7,1,7,7,1,7,6,6,4,1,1,2,7,2,7,7,6,6,4,1,7,2,2,2,2,2,1,2,2,7,7,1,7,7,1,7,6,2,4,1,1,2,5,1,7,7,1,7,6,1,1,6,6,1,6,6,2,1,1,6,1,1,1,6,1,2,2,6,1,1,1,6,1,1,1,1,4,4,6,3,6,6,6,1,6,2,6,2,2,2,6,6,6,2,1,1,6,1,6,6,6,5,6,1,1,1,1,1,1,1,1,1,5,4,5,5,5,6,6,6,5,6,1,1,1,1,1,1,5,5,6,1,6,5,4,3,1,1,1,6,6,7,7,7,1,7,6,6,6,2,2,2,7,1,2,2,2,2,2,2,2,2,2,2,6,2,2,2,6,2,2,6,2,5,6,2,6,4,6,3,6,2,6,4,5,2,7,3,2,1,7,4,1,7,2,7,7,6,6,4,7,6,6,6,7,6,1,7,6,7,7,6,7,7,7,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,3,5,7,7,7,7,2,6,1,2,2,2,2,2,2,2,3,2,4.583333333,5.25,3.833333333,6.5,6.833333333,1.35,2.1,6,1,4.8,6.041666667,6.111111111,2,2.388888889,15,7,5,1
8,0,0,0,32,NA,9,6,4,5,5,5,1,6,6,1,4,2,6,5,5,2,4,3,3,6,5,1,5,1,3,2,1,2,3,2,6,6,3,5,7,6,1,6,1,2,5,2,2,6,3,5,5,6,3,6,5,2,5,4,4,3,2,6,6,4,2,1,1,1,6,2,2,4,6,1,2,1,7,1,1,1,7,1,1,1,1,6,2,7,1,6,6,6,3,5,2,7,2,2,3,6,6,6,2,2,1,6,2,5,7,6,2,6,1,2,1,1,2,2,1,1,2,5,5,4,3,4,7,6,5,6,5,6,2,3,1,1,3,6,5,4,2,6,3,2,2,1,2,2,6,6,7,2,7,4,6,1,5,7,3,4,1,7,1,4,2,3,2,3,3,2,2,3,3,5,2,3,4,7,2,3,5,3,5,3,3,5,4,5,4,5,4,5,3,4,4,7,5,3,2,2,3,2,7,2,3,6,4,5,7,5,6,6,2,2,3,7,6,6,5,3,3,5,4,5,2,4,2,2,1,1,2,1,2,2,2,3,1,2,2,2,6,2,6,5,7,7,5,6,5,6,7,6,6,4,7,5,1,3,1,5,3,3,3,3,4,3,1.916666667,4.5,4.666666667,5.333333333,4.166666667,1.4,1.95,5.428571429,1.444444444,4.2,5.5,5.555555556,3,2.888888889,11,7,3,1
9,1,0,1,25,0,10,2,1,1,7,6,2,6,6,2,6,4,4,7,1,3,3,5,3,7,7,3,3,1,3,5,1,5,6,3,2,4,3,3,5,7,2,5,6,2,7,3,4,5,3,2,3,2,1,7,6,1,5,6,1,1,1,6,6,1,7,1,1,1,5,1,1,1,6,1,1,1,4,1,1,1,6,1,2,1,1,5,1,5,1,4,5,5,1,5,2,5,2,2,1,4,5,5,1,3,1,5,1,4,5,6,4,5,3,3,1,1,2,1,1,1,1,3,3,4,2,2,6,6,6,4,6,3,2,2,1,3,1,7,7,6,2,7,3,3,1,1,1,1,6,6,7,5,6,2,6,2,6,6,1,4,5,5,3,4,3,5,2,3,1,5,2,4,2,4,2,5,3,5,2,3,5,5,5,2,2,5,2,6,3,5,5,6,3,6,4,4,6,3,5,6,7,2,6,4,7,5,5,5,7,5,3,5,6,4,5,2,6,4,5,6,5,7,7,7,2,7,3,2,4,2,3,3,4,3,3,3,3,4,3,3,7,5,6,6,7,5,7,6,5,7,7,7,7,6,6,7,3,4,3,6,3,2,3,2,2,3,3.083333333,3.583333333,5.416666667,6.166666667,6.25,1.4,2.35,5.142857143,1.555555556,2.8,6.041666667,6.111111111,3.666666667,2.888888889,-2,2,-4,1
10,1,0,1,28,4,3,6,6,4,6,7,1,7,7,1,6,1,5,3,5,1,6,6,1,2,6,2,5,1,1,6,1,2,6,1,4,6,4,6,7,7,2,5,1,5,7,1,1,4,5,2,6,7,3,6,7,1,7,6,5,1,1,2,2,5,6,2,1,1,6,4,1,2,6,1,1,2,6,1,1,1,7,1,1,1,1,6,1,6,5,6,6,5,2,6,2,6,2,2,2,5,6,6,2,2,2,6,1,6,6,6,3,6,3,2,1,2,1,1,1,2,1,5,5,5,4,4,7,7,6,4,6,2,3,3,2,2,1,6,5,6,2,5,2,2,2,4,1,1,4,4,5,5,6,2,5,2,5,3,3,1,2,7,3,1,2,1,2,1,1,1,2,1,1,7,3,1,5,5,2,2,6,2,1,7,2,7,1,6,6,6,5,5,6,6,2,7,6,3,2,2,4,1,7,3,3,7,2,7,7,7,6,7,4,2,2,7,3,7,3,6,2,5,3,7,6,3,2,2,2,1,2,2,2,2,3,2,2,3,2,2,7,6,5,5,6,6,7,6,6,6,4,7,7,6,6,5,1,1,3,1,1,2,2,3,2,2,1.5,5.75,4.5,4.75,6.333333333,1.45,2.2,5.714285714,1.555555556,4.6,5.541666667,5.111111111,1.5,2.666666667,10,8,2,0
